false_positive_rate,true_positive_rate,threshold
0.2881844380403458,0.8768768768768769,0.014178498
0.2881844380403458,0.8798798798798799,0.011955842
0.29394812680115273,0.8798798798798799,0.011484577
0.29394812680115273,0.8818818818818819,0.011322645
0.29971181556195964,0.8818818818818819,0.0111569585
0.29971181556195964,0.8838838838838838,0.010981623
0.30547550432276654,0.8838838838838838,0.010470397
0.30547550432276654,0.8848848848848849,0.010243351
0.30835734870317005,0.8848848848848849,0.010238944
0.30835734870317005,0.8918918918918919,0.009623931
0.3112391930835735,0.8918918918918919,0.009309428
0.3112391930835735,0.8928928928928929,0.009296108
0.3170028818443804,0.8928928928928929,0.009090581
0.3170028818443804,0.8938938938938938,0.008963385
0.31988472622478387,0.8938938938938938,0.008941609
0.31988472622478387,0.8948948948948949,0.008771519
0.3227665706051873,0.8948948948948949,0.008310948
0.3227665706051873,0.8968968968968969,0.007894945
0.3285302593659942,0.8968968968968969,0.0076793586
0.3285302593659942,0.8998998998998999,0.007454139
0.3314121037463977,0.8998998998998999,0.007433782
0.3314121037463977,0.9009009009009009,0.007395456
0.33429394812680113,0.9009009009009009,0.007258736
0.33429394812680113,0.9029029029029029,0.0071309633
0.3371757925072046,0.9029029029029029,0.0070849336
0.3371757925072046,0.9039039039039038,0.006161151
0.345821325648415,0.9039039039039038,0.0059694187
0.345821325648415,0.9099099099099099,0.005298079
0.3515850144092219,0.9099099099099099,0.005150375
0.3515850144092219,0.9109109109109109,0.005089928
0.35446685878962536,0.9109109109109109,0.004992109
0.35446685878962536,0.9119119119119119,0.0048202937
0.3573487031700288,0.9119119119119119,0.0048000873
0.3573487031700288,0.913913913913914,0.0045842556
0.36023054755043227,0.913913913913914,0.004519522
0.36023054755043227,0.918918918918919,0.0041714585
0.3659942363112392,0.918918918918919,0.0039561735
0.3659942363112392,0.9209209209209209,0.0033725612
0.38328530259365995,0.9209209209209209,0.0031651473
0.38328530259365995,0.923923923923924,0.0029734713
0.3861671469740634,0.923923923923924,0.0029733386
0.3861671469740634,0.9259259259259259,0.0027904052
0.38904899135446686,0.9259259259259259,0.00272502
0.38904899135446686,0.9269269269269269,0.0027172952
0.4034582132564842,0.9269269269269269,0.0025155998
0.4034582132564842,0.928928928928929,0.0024700535
0.40634005763688763,0.928928928928929,0.002425519
0.40634005763688763,0.92992992992993,0.0022891762
0.41210374639769454,0.92992992992993,0.0022123894
0.41210374639769454,0.9309309309309309,0.0020967717
0.414985590778098,0.9309309309309309,0.0020825923
0.414985590778098,0.933933933933934,0.001965562
0.41786743515850144,0.933933933933934,0.0019291589
0.41786743515850144,0.9359359359359359,0.0018654924
0.42939481268011526,0.9359359359359359,0.0017529334
0.42939481268011526,0.9369369369369369,0.0016868945
0.43804034582132567,0.9369369369369369,0.0015991636
0.43804034582132567,0.9409409409409409,0.0014964574
0.4438040345821326,0.9409409409409409,0.0013952838
0.4438040345821326,0.9429429429429429,0.0013777897
0.44668587896253603,0.9429429429429429,0.0013652699
0.44668587896253603,0.9459459459459459,0.0013139322
0.4495677233429395,0.9459459459459459,0.0012753147
0.4495677233429395,0.9479479479479479,0.001226941
0.45244956772334294,0.9479479479479479,0.0011125082
