threshold,accuracy,precision,sensitivity,specificity,f1_score,tn,fp,fn,tp
0.84,0.7771173848439822,0.953307392996109,0.7357357357357357,0.8962536023054755,0.8305084745762712,311,36,264,735
0.85,0.774888558692422,0.9554973821989529,0.7307307307307307,0.9020172910662824,0.8281338627339762,313,34,269,730
0.86,0.7734026745913819,0.9577836411609498,0.7267267267267268,0.9077809798270894,0.8264086511098463,315,32,273,726
0.87,0.7696879643387816,0.9587217043941412,0.7207207207207207,0.9106628242074928,0.8228571428571428,316,31,279,720
0.88,0.763744427934621,0.9582772543741588,0.7127127127127127,0.9106628242074928,0.817451205510907,316,31,287,712
0.89,0.7592867756315007,0.9591836734693877,0.7057057057057057,0.9135446685878963,0.8131487889273357,317,30,294,705
0.9,0.7526002971768202,0.9599447513812155,0.6956956956956957,0.9164265129682997,0.8067324434126524,318,29,304,695
0.91,0.7466567607726597,0.9607843137254902,0.6866866866866866,0.9193083573487032,0.8009340338587274,319,28,313,686
0.92,0.7459138187221397,0.9699570815450643,0.6786786786786787,0.9394812680115274,0.7985865724381626,326,21,321,678
0.93,0.736255572065379,0.9693877551020408,0.6656656656656657,0.9394812680115274,0.7893175074183977,326,21,334,665
0.9400000000000001,0.7303120356612184,0.9718100890207715,0.6556556556556556,0.9452449567723343,0.7830245068738793,328,19,344,655
0.9500000000000001,0.7236255572065379,0.9757207890743551,0.6436436436436437,0.9538904899135446,0.7756332931242461,331,16,356,643
0.96,0.712481426448737,0.978125,0.6266266266266266,0.9596541786743515,0.7638804148871263,333,14,373,626
0.97,0.7020802377414561,0.9822580645161291,0.6096096096096096,0.968299711815562,0.7523162445954292,336,11,390,609
0.98,0.6827637444279346,0.9814814814814815,0.5835835835835835,0.968299711815562,0.7319522912743252,336,11,416,583
0.99,0.649331352154532,0.9852670349907919,0.5355355355355356,0.9769452449567724,0.6939040207522698,339,8,464,535
